ID	ISBN	Price	Title	Teaser	Auth_1	Auth_2	Auth_3	Review	Reviewer	Issue_date	Issue	Record_type	Sub_headline	Headline	Publisher	Pub_date	Categories	SubCategories	Metadata	Image	Field21
1019	813919827	$19.50	Forgotten Time: The Yazoo-Mississippi Delta after the Civil War		Willis, John C.			Please see print version for full text.	Hamlin, Debi	Summer 2001	2001-06-01	Review			University Press of Virginia					"<img hspace=6 align=LEFT width=161 height=244 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/JohnWillisForgottenTime.jpg"">"	
1020	877457581	$42.95	A Perfect Picture of Hell: Eyewitness Accounts by Civil War Prisoners from the 12th Iowa		Genoways, Ted	Genoways, Hugh H.		Please see print version for full text.	Rafuse, Ethan S.	Summer 2001	2001-06-01	Review			University of Iowa Press					"<img hspace=6 align=LEFT width=161 height=240 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/GenowaysAPerfectPictureofHell.jpg"">"	
1021	877457581	$42.95	Reconstruction in the Cane Fields: From Slavery to Free Labor in Louisiana's Sugar Parishes, 1862-1880		Rodrigue, John C.			Please see print version for full text.	Eakin, Sue	Summer 2001	2001-06-01	Review			University of Iowa Press					"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/JohnRodrigueReconstructionintheCaneFields.jpg"">"	
1022	875802672	$32.00	Rebels at Rock Island: The Story of a Civil War Prison		McAdams, Benton			Please see print version for full text.	Speer, Lonnie	Summer 2001	2001-06-01	Review			Northern Illinois University Press					"<img hspace=6 align=LEFT width=161 height=239 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/BentonMcAdamsRebelsatRockIsland.jpg"">"	
1023	1879852683	$25.00	Tampa In Civil War and Reconstruction		Brown Jr., Canter			Please see print version for full text.	Buker, George E.	Summer 2001	2001-06-01	Review			University of Tampa Press					"<img hspace=6 align=LEFT width=161 height=240 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/CanterBrownTampainCivilWarandReconstruction.jpg"">"	
1024	674003322	$29.95	Race and Reunion: The Civil War in American Memory		Blight, David W.			Please see print version for full text.	Kinsel, Amy J.	Summer 2001	2001-06-01	Review			Belknap Press					"<img hspace=6 align=LEFT width=161 height=235 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/DavidBlightRaceandReunion.jpg"">"	
1025	157747063X	$19.95	Warner Civil War Cavalry Carbines		Hassell, J. Alan			Please see print version for full text.	Pugh, Joseph	Summer 2001	2001-06-01	Review			Thomas Publications					"<img hspace=6 align=LEFT width=161 height=208 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/HassellWarnerCivilWarCavalaryCarbines.jpg"">"	
1026	1572330821	$30.00	Doctor to the Front: The Recollections of Confederate Surgeon Thomas Fanning Wood		Koonce, Donald B.			Please see print version for full text.	Freemon, Frank R.	Summer 2001	2001-06-01	Review			University of Tennessee Press					"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/KoonceDoctortotheFront.jpg"">"	
1027	1579583563	$30.00	The War in the East: 1861-May 1863		Gallagher, Gary W.			Please see print version for full text.	Levin, Kevin	Summer 2001	2001-06-01	Review			Fitzroy Dearborn Pub					"<img hspace=6 align=LEFT width=161 height=240 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/GallagherTheWarInTheEast.jpg"">"	
1028	1584650753	$27.95	My Brave Boys To War with Colonel Cross & the Fighting Fifth		Pride, Mike	Travis, Mark		Please see print version for full text.	O'Connor, Tony	Summer 2001	2001-06-01	Review			University Press of New England					"<img hspace=6 align=LEFT width=161 height=237 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/MikePrideMyBraveBoys.jpg"">"	
