"ID"	"ISBN"	"Price"	"Title"	"Teaser"	"Auth_1"	"Auth_2"	"Auth_3"	"Review"	"Reviewer"	"Issue_date"	"Issue"	"Record_type"	"Sub_headline"	"Headline"	"Publisher"	"Pub_date"	"Categories"	"SubCategories"	"Metadata"	"Image"	"Image2"	"Image3"	"Image4"	"Image5"	"Audio1"	"Link1"	"Link2"
6383	9781476667379	"$35.00"	"Psychological Consequences of the American Civil War"		"Lande, R. Gregory"					"Winter 2017"	"2017-2-1"	"Annotation"			"McFarland"		"SocPsychology"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/landepsychological.jpg"">"						"<a href=""http://www.mcfarlandbooks.com/book-2.php?id=978-1-4766-6737-9"">Click here for more information</a>"	
6311	9780881465709	"$35.00"	"Summon Only the Brave!: Commanders, Soldiers, and Chaplains at Gettysburg"		"Brinsfield, John W. Jr."					"Fall 2016"	"2016-11-1"	"Annotation"			"Mercer University Press"		"Military"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/BrinsfieldSummonOnlyTheBrave.jpg"">"						"<a href=""http://www.mupress.org/Summon-Only-the-Brave-Commanders-Soldiers-and-Chaplains-at-Gettysburg-P901.aspx"">Click here for more information</a>"	
6378	9780821422502	"$29.95"	"Alexander Robey Shepherd: the Man Who Built the Nation's Capital"		"Richardson, John P."					"Winter 2017"	"2017-2-1"	"Annotation"			"Ohio University Press"		"Biographies;Politics"			"<img hspace=6 align=LEFT width=161 height=248 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/RichardsonAlexanderRobeyShepherd.jpg"">"						"<a href=""http://www.ohioswallow.com/book/Alexander+Robey+Shepherd"">Click here for more information</a>"	
6325	9780806151571	"$29.95"	"Blood on the Marias: The Baker Massacre"		"Wylie, Paul"					"Fall 2016"	"2016-11-1"	"Annotation"			"University of Oklahoma Press"		"Battles;Military;Politics"			"<img hspace=6 align=LEFT width=161 height=230 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/WylieBloodOnTheMarias.jpg"">"						"<a href=""http://www.oupress.com/ECommerce/Book/Detail/2072/blood%20on%20the%20marias"">Click here for more information</a>"	
6373	9780806152233	"$34.95"	"Narrating the Landscape: Print Culture and American Expansion in the Nineteenth Century"		"Johnston, Matthew N."					"Winter 2017"	"2017-2-1"	"Annotation"			"University of Oklahoma Press"		"Politics;Social_History"			"<img hspace=6 align=LEFT width=161 height=208 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/JohnstonNarratingtheLandscape.jpg"">"						"<a href=""http://www.oupress.com/ECommerce/Book/Detail/2103/narrating%20the%20landscape"">Click here for more information</a>"	
6447	9780806152172	"$29.95"	"Nicodemus: Post-Reconstruction Politics and Racial Justice in Western Kansas"		"Hinger, Charlotte"					"Spring 2017"	"2017-5-1"	"Annotation"			"University of Oklahoma Press"		"Politics;Reconstruction;Social_History"			"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/nicodemus.jpg"">"						"<a href=""http://www.oupress.com/ECommerce/Book/Detail/2105/nicodemus "">Click here for more information</a>"	
6369	9780806152219	"$34.95"	"The Texas Frontier and the Butterfield Overland Mail, 1858-1861"		"Ely, Glen Sample"					"Winter 2017"	"2017-2-1"	"Annotation"			"University of Oklahoma Press"		"Politics;Social_History"			"<img hspace=6 align=LEFT width=161 height=201 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/ElyTheTexasFrontier.jpg"">"						"<a href=""http://www.oupress.com/ECommerce/Book/Detail/2120/the%20texas%20frontier%20and%20the%20butterfield%20overland%20mail%20%201858%201861"">Click here for more information</a>"	
6313	9780806153377	"$29.95"	"""Hang Them All"": George Wright and the Plateau Indian War"		"Cutler, Donald L."	" Johnson, Janiece L."				"Fall 2016"	"2016-11-1"	"Annotation"			"University of Oklahoma Press"		"Military"			"<img hspace=6 align=LEFT width=161 height=245 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/CutlerHangThemAll.jpg"">"						"<a href=""http://www.oupress.com/ECommerce/Book/Detail/2129/hang%20them%20all"">Click here for more information</a>"	
6385	9780806153858	"$29.95"	"Mapping the Four Corners: Narrating the Hayden Survey of 1875"		"McPherson, Robert S"	"Neel, Susan Rhoades"				"Winter 2017"	"2017-2-1"	"Annotation"			"University of Oklahoma Press"		"Politics;Technology"			"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/hayden.jpg"">"						"<a href=""http://www.oupress.com/ECommerce/Book/Detail/2151/mapping%20the%20four%20corners"">Click here for more information</a>"	
6377	9780806155777	"$34.95"	"Picturing Indian Territory: Portraits of the Land That Became Oklahoma, 1819-1907"		"Price, B. Byron"					"Winter 2017"	"2017-2-1"	"Annotation"			"University of Oklahoma Press"		"Social_History"			"<img hspace=6 align=LEFT width=161 height=198 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/PricePicturingIndianTerritory.jpg"">"						"<a href=""http://www.oupress.com/ECommerce/Book/Detail/2157/picturing%20indian%20territory"">Click here for more information</a>"	
